,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,53.47,80,100,0.76,NZ,1643904013
1,Geraldton,-28.7667,114.6,72.01,60,0,4.61,AU,1643904015
2,Berlevåg,70.8578,29.0864,22.8,79,75,5.75,NO,1643904017
3,‘Āhuimanu,21.4447,-157.8378,71.85,81,15,1.01,US,1643904019
4,Smidovich,48.6,133.8167,-23.71,100,46,2.86,RU,1643904020
5,Ust-Kuyga,70.0167,135.6,-35.07,99,84,1.61,RU,1643904022
6,Kavieng,-2.5744,150.7967,81.19,78,100,7.78,PG,1643904025
7,Barrow,71.2906,-156.7887,-28.86,100,12,1.9,US,1643903790
8,Mahébourg,-20.4081,57.7,80.26,90,100,26.71,MU,1643904027
9,Yangambi,0.8102,24.4336,82.36,53,100,3.33,CD,1643904028
10,New Norfolk,-42.7826,147.0587,51.71,66,5,2.26,AU,1643904031
11,Khatanga,71.9667,102.5,-33.14,100,24,2.21,RU,1643904034
12,Saskylakh,71.9167,114.0833,-31.4,100,81,1.5,RU,1643904035
13,Kiama,-34.6833,150.8667,63.0,75,99,3.0,AU,1643903805
14,Hermanus,-34.4187,19.2345,73.9,66,50,14.61,ZA,1643904037
15,Rikitea,-23.1203,-134.9692,77.56,77,100,13.67,PF,1643904038
16,Vao,-22.6667,167.4833,79.39,85,87,16.62,NC,1643904039
17,George Town,5.4112,100.3354,82.89,90,20,1.01,MY,1643903864
18,Mehrān,33.1222,46.1646,61.97,31,100,13.02,IR,1643904041
19,Vaini,-21.2,-175.2,80.83,76,10,13.09,TO,1643904042
20,Busselton,-33.65,115.3333,74.05,42,92,8.57,AU,1643904043
21,Kapaa,22.0752,-159.319,68.32,88,75,8.05,US,1643904044
22,Celestún,20.8667,-90.4,81.84,61,7,13.51,MX,1643904044
23,Hilo,19.7297,-155.09,69.39,72,20,1.14,US,1643903893
24,Ribeira Grande,38.5167,-28.7,63.0,67,20,4.61,PT,1643903986
25,Ponta Delgada,37.7333,-25.6667,66.51,72,20,16.11,PT,1643904046
26,Belyy Yar,53.6039,91.3903,-12.14,90,51,2.24,RU,1643904047
27,Nur-Sultan,51.1801,71.446,-4.05,84,13,4.47,KZ,1643903784
28,Lagoa,39.05,-27.9833,57.58,73,99,10.98,PT,1643904049
29,Castro,-24.7911,-50.0119,73.99,74,96,1.5,BR,1643904004
30,Tuktoyaktuk,69.4541,-133.0374,-16.06,99,99,9.33,CA,1643904050
31,East London,-33.0153,27.9116,73.81,85,85,15.99,ZA,1643904051
32,Kropotkin,45.4375,40.5756,39.45,83,100,5.46,RU,1643904052
33,Dikson,73.5069,80.5464,-14.06,98,92,7.83,RU,1643904053
34,Ushuaia,-54.8,-68.3,49.87,47,46,5.28,AR,1643904054
35,Chokurdakh,70.6333,147.9167,-29.06,100,93,3.58,RU,1643904055
36,Stonewall,50.1344,-97.3268,-18.02,92,6,8.37,CA,1643904018
37,Kavaratti,10.5669,72.642,79.86,69,5,8.48,IN,1643904056
38,São José da Coroa Grande,-8.8978,-35.1478,86.11,53,87,9.57,BR,1643904057
39,Phichit,16.25,100.4167,81.9,54,33,5.08,TH,1643904058
40,Avarua,-21.2078,-159.775,78.85,89,75,9.22,CK,1643904059
41,Lorengau,-2.0226,147.2712,79.21,79,100,5.57,PG,1643904060
42,Meulaboh,4.1363,96.1285,75.09,90,97,8.59,ID,1643904061
43,Punta Arenas,-53.15,-70.9167,48.11,57,99,6.96,CL,1643904061
44,Tual,-5.6667,132.75,83.12,73,77,12.15,ID,1643904062
45,Bassano,50.7834,-112.4685,6.94,92,100,7.31,CA,1643904063
46,Sinnamary,5.3833,-52.95,80.11,80,44,9.19,GF,1643904064
47,Porto-Novo,6.4965,2.6036,86.47,53,77,11.05,BJ,1643904065
48,Bengkulu,-3.8004,102.2655,76.51,91,100,6.49,ID,1643904066
49,Port Alfred,-33.5906,26.891,72.64,79,100,17.45,ZA,1643904067
50,Ust-Nera,64.5667,143.2,-15.45,100,99,4.05,RU,1643904068
51,Yellowknife,62.456,-114.3525,-31.45,78,25,10.0,CA,1643904069
52,Nanortalik,60.1432,-45.2371,30.29,78,100,15.35,GL,1643904069
53,Yertsevo,60.7966,40.086,0.01,100,94,2.86,RU,1643904070
54,Gombong,-7.6072,109.5142,78.1,87,99,1.48,ID,1643904071
55,Albany,42.6001,-73.9662,42.75,92,100,0.76,US,1643904033
56,Port Blair,11.6667,92.75,78.84,73,40,5.75,IN,1643903853
57,Devrek,41.2192,31.9558,40.01,99,100,3.42,TR,1643904073
58,Esperance,-33.8667,121.9,63.97,74,3,20.09,AU,1643904074
59,Lebu,-37.6167,-73.65,64.27,78,91,12.73,CL,1643904075
60,Almenara,-16.1836,-40.6944,89.51,50,32,4.92,BR,1643904076
61,Qaanaaq,77.484,-69.3632,-13.74,64,90,7.94,GL,1643904077
62,Chui,-33.6971,-53.4616,88.14,50,39,4.27,UY,1643904077
